edep_keV,y_keV_um,z_mGy
0.00288731,0.000721828,0.00409027
0.108676,0.0271691,0.153955
0.185517,0.0463792,0.262809
0.0254338,0.00635846,0.0360305
0.168892,0.042223,0.239258
2.40971,0.602426,3.41367
3.21615,0.804037,4.55611
1.66907,0.417267,2.36446
0.48418,0.121045,0.685906
3.46563,0.866407,4.90953
0.271377,0.0678442,0.384442
1.44016,0.36004,2.04018
0.518608,0.129652,0.734679
0.0842064,0.0210516,0.11929
0.236889,0.0592223,0.335585
0.192837,0.0482091,0.273179
0.842022,0.210506,1.19284
0.970968,0.242742,1.37551
0.264889,0.0662223,0.375251
1.27624,0.31906,1.80796
1.44325,0.360813,2.04456
0.172587,0.0431467,0.244493
1.44513,0.361281,2.04722
0.907655,0.226914,1.28582
8.32455,2.08114,11.7929
8.32446,2.08111,11.7927
8.3262,2.08155,11.7952
0.908467,0.227117,1.28697
0.583518,0.14588,0.826633
8.32426,2.08107,11.7924
0.908484,0.227121,1.28699
8.32489,2.08122,11.7933
0.889855,0.222464,1.2606
0.595225,0.148806,0.843217
0.752347,0.188087,1.0658
0.246982,0.0617454,0.349883
8.32532,2.08133,11.7939
0.889408,0.222352,1.25997
1.06392,0.265981,1.50719
0.130647,0.0326618,0.18508
1.03062,0.257655,1.46001
0.403337,0.100834,0.571382
8.32358,2.0809,11.7915
0.890822,0.222705,1.26197
0.0310372,0.0077593,0.0439684
0.0603427,0.0150857,0.0854836
0.254769,0.0636922,0.360914
0.890348,0.222587,1.2613
0.569621,0.142405,0.806945
1.29348,0.323371,1.83239
0.889886,0.222471,1.26064
8.3237,2.08093,11.7916
8.32639,2.0816,11.7955
0.908292,0.227073,1.28672
0.761016,0.190254,1.07808
0.315679,0.0789197,0.447202
6.62139,1.65535,9.38009
1.21684,0.304211,1.72382
0.417721,0.10443,0.591758
0.908834,0.227209,1.28749
2.54348,0.635869,3.60318
4.55324,1.13831,6.45028
0.107209,0.0268021,0.151875
0.889482,0.222371,1.26007
0.766612,0.191653,1.08601
0.862525,0.215631,1.22188
0.890028,0.222507,1.26085
0.687563,0.171891,0.974026
0.907615,0.226904,1.28576
0.073068,0.018267,0.103511
0.10143,0.0253576,0.14369
8.32677,2.08169,11.796
0.508843,0.127211,0.720845
0.239959,0.0599898,0.339935
3.99736,0.999341,5.66281
8.32768,2.08192,11.7973
0.890956,0.222739,1.26216
0.890791,0.222698,1.26193
8.32602,2.0815,11.7949
8.32543,2.08136,11.7941
0.960378,0.240094,1.3605
8.32315,2.08079,11.7909
1.49107,0.372767,2.1123
8.32814,2.08203,11.7979
0.232743,0.0581858,0.329712
0.468218,0.117054,0.663294
0.43491,0.108727,0.616109
6.31852,1.57963,8.95104
0.719706,0.179926,1.01956
0.141986,0.0354966,0.201143
8.32742,2.08186,11.7969
8.32478,2.08119,11.7932
1.1847,0.296174,1.67828
8.32468,2.08117,11.793
0.889579,0.222395,1.26021
1.02933,0.257333,1.45819
0.385435,0.0963586,0.54602
0.10158,0.0253951,0.143902
0.890627,0.222657,1.26169
0.908087,0.227022,1.28643
0.171141,0.0427852,0.242444
0.890744,0.222686,1.26186
0.890901,0.222725,1.26208
0.374302,0.0935756,0.53025
8.32709,2.08177,11.7965
0.890711,0.222678,1.26181
0.209754,0.0524386,0.297145
8.32691,2.08173,11.7962
8.32396,2.08099,11.792
0.908689,0.227172,1.28728
3.46207,0.865518,4.9045
8.32543,2.08136,11.7941
1.03027,0.257567,1.45951
1.25777,0.314443,1.7818
8.32667,2.08167,11.7958
0.889863,0.222466,1.26061
8.32602,2.08151,11.7949
0.889705,0.222426,1.26039
1.25,0.312501,1.7708
1.72847,0.432117,2.44861
8.32443,2.08111,11.7927
0.781401,0.19535,1.10696
0.890607,0.222652,1.26167
0.597976,0.149494,0.847114
0.142408,0.035602,0.20174
0.883316,0.220829,1.25134
0.889621,0.222405,1.26027
8.32707,2.08177,11.7964
0.77184,0.19296,1.09342
0.140561,0.0351403,0.199124
0.869386,0.217347,1.2316
1.01437,0.253592,1.43699
0.891099,0.222775,1.26236
0.357993,0.0894984,0.507146
0.890248,0.222562,1.26116
0.891221,0.222805,1.26253
8.32665,2.08166,11.7958
0.083105,0.0207763,0.117729
8.32512,2.08128,11.7937
0.447612,0.111903,0.634103
0.788512,0.197128,1.11703
0.754774,0.188693,1.06924
8.32525,2.08131,11.7938
0.262259,0.0655647,0.371525
0.198433,0.0496083,0.281107
8.32768,2.08192,11.7973
0.417568,0.104392,0.591542
0.437118,0.10928,0.619237
0.890753,0.222688,1.26187
0.548927,0.137232,0.77763
0.278272,0.0695679,0.39421
1.70569,0.426422,2.41634
4.25458,1.06365,6.02719
8.32709,2.08177,11.7964
0.890631,0.222658,1.2617
0.507714,0.126929,0.719246
0.00137272,0.00034318,0.00194464
0.236671,0.0591677,0.335276
0.151079,0.0377698,0.214024
0.754503,0.188626,1.06886
1.51356,0.378389,2.14416
8.32573,2.08143,11.7945
0.637919,0.15948,0.903698
8.32476,2.08119,11.7932
0.070332,0.017583,0.0996348
3.62145,0.905364,5.13028
0.803754,0.200939,1.13863
0.960095,0.240024,1.3601
0.387836,0.0969591,0.549423
0.890004,0.222501,1.26081
0.827512,0.206878,1.17228
1.9942,0.49855,2.82505
0.890241,0.22256,1.26115
8.32418,2.08104,11.7923
8.32618,2.08154,11.7952
0.253619,0.0634048,0.359286
8.32735,2.08184,11.7968
2.17754,0.544385,3.08478
1.71873,0.429682,2.43481
0.774771,0.193693,1.09757
0.275097,0.0687744,0.389713
0.022318,0.00557951,0.0316165
0.806299,0.201575,1.14223
0.563372,0.140843,0.798093
0.118381,0.0295953,0.167703
4.27101,1.06775,6.05046
0.601701,0.150425,0.852391
11.6233,2.90582,16.4659
0.169182,0.0422955,0.239669
0.350145,0.0875363,0.496028
0.889765,0.222441,1.26047
0.889597,0.222399,1.26023
2.77668,0.694169,3.93354
0.666911,0.166728,0.944769
1.02979,0.257447,1.45884
0.889911,0.222478,1.26068
0.57425,0.143562,0.813503
8.32348,2.08087,11.7913
8.32849,2.08212,11.7984
0.890123,0.222531,1.26098
4.06585,1.01646,5.75983
0.54231,0.135578,0.768256
1.02929,0.257323,1.45813
0.168956,0.0422391,0.23935
0.889781,0.222445,1.2605
0.890832,0.222708,1.26198
0.889808,0.222452,1.26053
8.32862,2.08215,11.7986
0.32948,0.0823701,0.466753
0.119284,0.0298209,0.168981
0.294874,0.0737184,0.417729
0.978838,0.244709,1.38666
0.908007,0.227002,1.28631
3.73675,0.934188,5.29362
0.228626,0.0571564,0.323879
4.67727,1.16932,6.62599
8.32506,2.08127,11.7936
0.602034,0.150508,0.852862
0.522617,0.130654,0.740358
0.048217,0.0120543,0.0683059
8.32542,2.08136,11.7941
1.0295,0.257374,1.45842
0.503731,0.125933,0.713603
1.44407,0.361018,2.04572
0.379044,0.0947611,0.536968
0.239993,0.0599983,0.339983
8.32545,2.08136,11.7941
0.889435,0.222359,1.26
0.374052,0.093513,0.529895
0.890423,0.222606,1.2614
0.890556,0.222639,1.26159
0.162185,0.0405462,0.229757
0.890062,0.222515,1.26089
8.32545,2.08136,11.7941
6.20767,1.55192,8.794
8.32564,2.08141,11.7944
8.32351,2.08088,11.7914
8.32537,2.08134,11.794
0.890282,0.22257,1.2612
8.32612,2.08153,11.7951
0.0600688,0.0150172,0.0850956
3.03902,0.759755,4.30518
0.889595,0.222399,1.26023
0.261359,0.0653397,0.37025
0.196125,0.0490312,0.277837
0.907824,0.226956,1.28605
8.32767,2.08192,11.7973
0.531025,0.132756,0.752269
0.101426,0.0253564,0.143683
0.329751,0.0824377,0.467137
0.710586,0.177647,1.00664
0.411449,0.102862,0.582873
0.0838283,0.0209571,0.118754
1.03036,0.257589,1.45964
1.02963,0.257407,1.45861
1.03076,0.257689,1.4602
8.32738,2.08185,11.7969
0.14779,0.0369474,0.209364
0.399978,0.0999946,0.566623
1.0544,0.263599,1.4937
0.342297,0.0855743,0.484911
13.6871,3.42178,19.3897
0.298232,0.0745579,0.422485
0.889366,0.222342,1.25991
8.32485,2.08121,11.7933
8.32601,2.0815,11.7949
0.442393,0.110598,0.626709
0.314635,0.0786588,0.445723
0.890637,0.222659,1.26171
0.707151,0.176788,1.00178
0.217532,0.0543831,0.308164
0.349,0.0872501,0.494406
0.686422,0.171606,0.97241
0.190652,0.0476629,0.270084
8.32535,2.08134,11.794
7.80263,1.95066,11.0535
1.02917,0.257293,1.45796
8.32531,2.08133,11.7939
8.325,2.08125,11.7935
1.77925,0.444812,2.52055
8.3259,2.08148,11.7948
8.32545,2.08136,11.7941
0.387962,0.0969906,0.549601
0.804646,0.201161,1.13989
